Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17	X18	Y18	Flag18	X19	Y19	Flag19	X20	Y20	Flag20	X21	Y21	Flag21	X22	Y22	Flag22	X23	Y23	Flag23	X24	Y24	Flag24	X25	Y25	Flag25
Tracks 1 to 25																																																																											
10	530.0526	30.730955	 	346.47144	127.078575	 	1189.7632	170.1944	 	1095.8483	163.69592	 	35.390335	200.51488	 	743.0386	259.2687	 	238.91576	367.52267	 	493.3948	452.57013	 	614.3717	524.87054	 	485.7699	524.18585	 	259.4085	583.0712	 	131.27777	621.70636	*	386.41733	657.4803	 	356.1957	708.2637	 	1087.4467	754.4552	 	1326.9261	772.5881	 	1226.2996	794.60944	 	205.65211	818.3662	 	39.920254	830.27466	 	746.99524	858.1539	 	829.0531	919.5929	 	1313.5096	1036.997	*	79.281624	1034.9988	 	1053.4143	1046.3539	 	1312.1714	1038.9143	*
11	530.75665	30.62771	 	346.33963	126.618935	 	1190.065	169.38393	 	1096.2394	163.37106	 	34.82749	201.29152	 	742.13965	259.52478	 	238.77559	366.89716	 	493.65805	451.1459	*	615.7419	525.3544	 	486.88394	523.73065	 	259.44446	581.94574	 	132.43706	621.85333	 	386.35788	657.6043	 	356.67648	708.6441	 	1088.912	753.9154	 	1326.8728	772.8991	 	1226.3949	794.31757	 	205.32921	818.90356	 	40.539043	831.0693	 	747.2813	858.0296	 	830.1357	919.0631	 	1314.0895	1038.4779	*	79.21138	1034.6401	 	1054.1537	1046.5857	 	1312.4153	1040.3813	*
12	530.3222	30.936754	 	345.80017	127.14358	 	1190.3387	169.37238	 	1097.4165	163.90982	 	34.403046	202.42705	 	742.6593	258.84625	 	238.04312	367.4158	 	492.77786	451.271	*	616.4929	525.4514	 	485.85123	524.1415	 	258.688	582.10266	 	131.52882	621.804	 	385.73923	658.32355	 	355.12555	708.4648	 	1087.3461	753.686	 	1327.3293	772.1145	 	1225.4642	794.6582	 	204.46434	819.489	 	40.76142	831.67896	 	746.63214	857.342	 	828.9354	918.1009	 	1314.1678	1038.483	*	79.20352	1034.5984	 	1054.7031	1046.7197	 	1312.6321	1040.5	*
13	530.3666	30.92621	 	345.91916	126.43754	 	1189.8568	169.63065	 	1097.5563	163.84183	 	33.888786	202.59346	 	742.92255	259.33215	 	238.34195	365.40497	 	491.7687	450.5244	*	616.5281	525.2801	 	486.38467	523.3044	 	259.451	582.5291	 	131.61995	621.6084	 	385.7942	656.56464	 	355.21198	708.2075	 	1086.8917	754.3861	 	1325.6481	771.2287	 	1226.5057	794.52075	 	203.85117	820.7606	 	40.484554	831.6068	 	747.73016	858.1863	 	828.8596	919.57605	 	1313.8514	1038.3588	*	79.04345	1035.2626	 	1054.9338	1046.4899	 	1312.3422	1040.3772	*
14	529.5992	31.390202	 	345.80746	127.55865	 	1189.3242	168.71808	 	1097.8851	163.43513	 	32.536312	202.63873	 	743.57385	259.32773	 	238.19789	365.34317	 	491.78592	450.5484	*	616.5275	525.4329	 	486.84543	522.5058	 	260.1165	582.7094	 	132.64551	621.9123	 	386.35602	657.34686	 	355.77795	708.8868	 	1086.5009	754.73486	 	1326.0684	771.23004	 	1227.4622	794.59393	 	204.06833	820.60284	 	40.998703	831.8805	 	747.3487	858.02405	 	829.0635	919.74963	 	1313.2407	1038.8889	*	79.44763	1035.394	 	1055.1923	1045.9751	 	1314.7118	1036.9716	 
15	529.4822	32.26722	 	344.93027	127.43683	 	1189.4727	167.94862	 	1098.1183	164.12794	 	31.749287	203.04329	 	743.21936	260.69376	 	237.77216	365.8291	 	491.39474	449.87616	*	616.8349	526.10046	 	487.47806	522.37427	 	259.81357	583.66864	 	131.7179	621.5548	 	386.63315	657.423	 	356.87372	709.50146	 	1086.519	755.43665	 	1326.1902	772.0991	 	1226.9108	796.02515	 	204.11821	821.53534	 	41.28353	831.8984	 	746.658	857.64966	 	828.5222	919.59467	 	1312.8623	1039.3551	*	78.9473	1036.1508	 	1054.607	1046.4095	 	1314.098	1037.5309	 
16	528.722	31.605011	 	344.75656	128.08592	 	1188.9644	168.12231	 	1098.0789	163.36145	 	32.95933	203.60431	 	741.96893	261.2198	 	237.19551	364.988	 	491.5709	449.69568	*	616.9075	526.7758	 	487.69882	522.61487	 	259.55844	583.3701	 	132.44516	620.3629	 	387.5475	657.6121	 	356.50586	709.0051	 	1087.9789	755.3371	 	1326.8241	771.05865	 	1227.1134	796.3573	 	203.22363	820.9419	 	40.899734	831.2647	 	747.3803	858.1789	 	828.6726	918.9643	 	1313.2424	1038.197	*	80.465416	1034.9481	 	1055.4109	1045.4426	 	1314.5111	1036.5654	 
17	528.60504	31.297136	 	344.47806	127.53142	 	1189.2637	167.96329	 	1098.7666	163.53038	 	32.08262	203.5172	 	741.278	260.97363	 	236.56897	365.22726	 	491.48788	449.3803	*	616.58374	527.17535	 	488.72528	522.9375	 	259.03186	583.31537	 	133.81367	620.96045	 	386.60962	657.7393	 	355.94077	709.48553	 	1089.2938	755.40924	 	1326.3743	771.2256	 	1226.7388	796.1413	 	201.90237	821.5937	 	40.31365	830.75195	 	747.698	857.06696	 	827.9889	919.6096	 	1313.2273	1038.409	*	79.740234	1034.9906	*	1054.5753	1045.6864	 	1314.3802	1036.5885	 
18	527.2062	31.613745	 	344.1394	127.97647	 	1189.6836	168.76996	 	1098.8066	164.32225	 	31.448997	202.09836	 	741.52167	260.4436	 	236.31224	365.22958	 	491.64676	449.382	*	616.54584	527.77405	 	489.52005	523.5129	 	257.9541	585.0019	 	132.91	620.54285	 	386.41754	657.37103	 	355.73865	710.277	 	1090.1202	754.3515	 	1325.3617	771.4879	 	1226.225	796.0886	 	201.84697	823.1187	 	40.179173	829.91266	 	747.51276	857.527	 	827.99347	919.8933	 	1314.3678	1038.2119	*	79.21808	1035.2952	*	1054.3687	1046.5868	 	1313.0676	1040.1621	*
19	527.3377	31.482227	 	345.42764	127.50412	 	1190.0902	168.61183	 	1099.6028	164.0345	 	32.054142	202.01683	 	740.907	260.8943	 	235.29607	364.16666	 	491.52545	449.2979	*	617.0289	527.8719	 	489.7902	523.82715	 	259.00064	584.6546	 	132.55756	620.2914	 	386.76843	657.5237	 	355.44812	709.9568	 	1090.6204	754.5239	 	1324.7426	772.1765	 	1225.3574	796.2868	 	202.36447	823.9053	 	40.515583	830.4195	 	747.3205	857.5142	 	827.78094	919.4869	 	1314.9171	1038.4846	*	79.79161	1035.17	 	1055.3251	1046.9961	 	1313.4403	1040.3955	*
