Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17	X18	Y18	Flag18	X19	Y19	Flag19	X20	Y20	Flag20	X21	Y21	Flag21	X22	Y22	Flag22	X23	Y23	Flag23
Tracks 1 to 23																																																																					
11	838.65906	102.93395	 	719.05133	151.0602	*	1089.2118	199.07637	 	27.55248	257.31573	 	648.4386	264.6662	 	1360.6741	303.6531	 	925.10913	317.96048	 	155.33536	370.2695	 	406.67627	377.93536	 	603.1315	385.6502	 	988.90326	433.78833	 	462.36874	494.4722	 	360.96594	539.05035	 	762.06586	578.6262	 	899.6318	699.9551	 	1235.9352	719.93256	 	637.7103	756.1702	 	76.65293	834.763	 	1214.197	881.9639	 	1319.2584	914.29767	 	729.23627	956.09485	 	825.8527	1026.735	 	1145.0061	1055.8983	 
12	839.6732	102.531235	 	720.06396	150.01639	*	1089.4662	199.29617	 	28.62464	256.7054	 	649.1139	263.30423	 	1361.2705	304.0455	 	925.12164	317.4176	 	155.9053	367.95074	 	406.11578	377.7815	 	603.6596	385.779	 	988.8766	434.1513	 	462.87827	495.30237	 	360.95047	539.03436	 	761.39874	578.8717	 	900.2782	700.4839	 	1236.6069	719.52527	 	637.3467	755.5464	 	75.87007	834.92773	 	1213.9612	882.3455	 	1319.281	914.5049	 	729.84644	955.7854	 	826.28815	1026.1969	 	1144.7264	1056.4608	 
13	838.4534	102.52413	 	716.74646	151.4585	*	1088.9158	199.51611	 	27.418764	255.94966	 	645.64453	264.57657	 	1360.2455	303.55136	 	924.8694	317.58636	 	151.89827	370.02988	 	404.81454	377.8458	 	603.13043	385.61707	 	989.2426	433.78708	 	462.48615	495.44846	 	360.4268	538.88074	 	761.2764	578.4895	 	899.1704	700.2091	 	1235.5345	719.71204	 	636.5198	756.55273	 	74.344086	835.0149	 	1213.0785	881.51715	 	1318.4095	913.61536	 	728.9924	956.34283	 	825.9391	1026.657	 	1142.8627	1056.3641	 
14	840.29126	102.8823	 	721.0067	150.78075	*	1089.9072	200.92252	 	27.761574	256.35358	 	650.4966	264.80502	 	1361.667	303.50287	 	926.32275	318.21902	 	158.07547	369.27896	 	405.60834	378.22943	 	605.10846	386.57965	 	989.872	434.2406	 	463.0483	496.00336	 	361.4911	539.69025	 	762.0411	578.9834	 	900.1568	699.6045	 	1238.16	719.3458	 	638.5047	756.9235	 	75.98292	834.709	 	1213.7799	881.96387	 	1318.7903	914.5339	 	729.8169	956.13776	 	827.8482	1027.2114	 	1143.7512	1056.4851	 
15	839.4613	102.423775	 	719.72186	150.81764	*	1089.0151	200.07399	 	27.792753	256.27335	 	648.99536	264.5078	 	1359.813	302.63193	 	925.6738	318.15518	 	155.25146	368.87573	 	404.6165	378.47556	 	603.42236	386.5698	 	988.7586	433.8693	 	462.39453	495.73972	 	360.7925	538.8279	 	761.292	578.1366	 	899.077	699.69434	 	1237.0994	719.8073	 	637.012	756.49	 	75.68244	834.75885	 	1212.8242	880.64636	 	1317.7405	913.6888	 	729.5562	956.23083	 	826.5889	1027.2292	 	1142.6534	1056.0514	 
16	840.24243	102.8054	 	719.96246	151.79893	*	1089.2611	199.97325	 	27.455036	256.47156	 	648.752	266.9491	 	1360.0404	303.21057	 	925.69824	318.04193	 	154.03493	371.1636	 	404.51337	378.83725	 	603.60657	386.49664	 	989.01263	434.3996	 	463.31046	496.1854	 	360.88095	539.23267	 	761.37555	577.7991	 	899.4971	700.4853	 	1236.7799	720.63574	 	636.4213	757.197	 	76.010414	834.63336	 	1212.0039	880.3213	 	1317.5812	914.27386	 	730.37085	956.7072	 	826.3904	1027.6617	 	1142.867	1055.7747	 
17	840.7182	102.87045	 	722.16724	150.06406	*	1089.6112	200.14561	 	28.82946	255.69116	 	650.8453	265.36966	 	1360.777	303.08463	 	926.9213	317.35788	 	157.67865	367.64923	 	405.0804	378.5323	 	604.3237	385.63898	 	989.2618	434.35593	 	463.86206	495.60248	 	360.5873	538.5616	 	761.5313	578.2516	 	900.657	700.541	 	1237.775	719.2462	 	637.4537	756.7356	 	76.75511	834.6801	 	1212.6835	880.1787	 	1318.2416	913.47095	 	730.75836	957.0514	 	827.9561	1026.5656	 	1142.598	1055.7338	 
18	839.6061	103.150955	 	720.3369	150.30725	*	1088.7216	200.18729	 	27.824741	256.4118	 	649.0937	266.6548	 	1360.4423	303.67432	 	926.7369	317.3408	 	153.63623	370.1126	 	403.78043	378.34354	 	604.0075	385.00305	 	988.25305	434.13156	 	461.902	495.50113	 	359.56165	538.14307	 	761.0881	577.8164	 	900.4771	700.6504	 	1235.4359	720.0175	 	636.2325	757.4882	 	75.838585	835.2413	 	1212.6237	880.1114	 	1317.3575	913.6564	 	730.30676	956.4045	 	826.2167	1026.8606	 	1141.3323	1055.805	 
19	840.6528	104.53649	 	724.4209	150.08757	*	1089.7262	200.30347	 	29.82867	256.6282	 	652.5438	266.2195	*	1361.4891	303.87744	 	927.28125	318.55936	 	158.16891	370.08783	 	405.09976	379.33636	 	605.4894	384.94177	 	989.4535	434.5437	 	462.5344	496.18698	 	360.11612	538.75366	 	762.14764	577.6862	 	902.04034	701.6471	 	1237.1798	719.9693	 	638.0043	758.39954	 	76.9532	836.521	 	1214.0818	881.03546	 	1318.6913	913.98114	 	731.4128	957.3666	 	827.9101	1027.1489	 	1142.6582	1056.0808	 
20	839.34576	103.600395	 	720.96216	149.53947	*	1088.2952	199.70154	 	29.284891	255.78835	 	649.453	266.01398	*	1361.3538	303.31537	 	926.0234	318.2436	 	152.53168	369.3782	 	403.37927	378.7359	 	603.8322	384.1622	 	988.11096	434.15903	 	461.5853	495.1678	 	358.9118	537.7504	 	761.0248	577.8191	 	901.1784	701.3392	 	1235.6378	718.59125	 	635.78235	757.87555	 	75.62036	836.6597	 	1212.86	880.4711	 	1317.7032	913.15607	 	730.4145	956.66534	 	825.71796	1025.973	 	1142.6243	1055.7653	 
